ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Category,OriginalOrder
2011-01-04,842.9913206,-657.685826616951,2615.8604874831503,842.9913206,842.9913206,115.72302281541175,115.72302281541175,115.72302281541175,249.548542592893,249.548542592893,249.548542592893,-133.82551977748125,-133.82551977748125,-133.82551977748125,0.0,0.0,0.0,958.7143434154118,Office Supplies,0.0
2011-01-05,843.1074915141592,-1167.4227077585138,2464.9015601183673,843.1074915141592,843.1074915141592,-192.74478200380196,-192.74478200380196,-192.74478200380196,-18.998592518541297,-18.998592518541297,-18.998592518541297,-173.74618948526066,-173.74618948526066,-173.74618948526066,0.0,0.0,0.0,650.3627095103573,Office Supplies,1.0
2011-01-05,843.1074915141592,-1167.4227077585138,2464.9015601183673,843.1074915141592,843.1074915141592,-192.74478200380196,-192.74478200380196,-192.74478200380196,-18.998592518541297,-18.998592518541297,-18.998592518541297,-173.74618948526066,-173.74618948526066,-173.74618948526066,0.0,0.0,0.0,650.3627095103573,Office Supplies,2.0
2011-01-05,843.1074915141592,-1167.4227077585138,2464.9015601183673,843.1074915141592,843.1074915141592,-192.74478200380196,-192.74478200380196,-192.74478200380196,-18.998592518541297,-18.998592518541297,-18.998592518541297,-173.74618948526066,-173.74618948526066,-173.74618948526066,0.0,0.0,0.0,650.3627095103573,Office Supplies,3.0
2011-01-06,843.2236624283183,-717.7546963363818,2668.074530084191,843.2236624283183,843.2236624283183,6.482403860844112,6.482403860844112,6.482403860844112,217.86152960015914,217.86152960015914,217.86152960015914,-211.37912573931504,-211.37912573931504,-211.37912573931504,0.0,0.0,0.0,849.7060662891624,Office Supplies,4.0
2011-01-07,843.3398333424777,-1002.5269460577628,2591.9994901892433,843.3398333424777,843.3398333424777,-25.766231949176454,-25.766231949176454,-25.766231949176454,220.46651335669105,220.46651335669105,220.46651335669105,-246.23274530586752,-246.23274530586752,-246.23274530586752,0.0,0.0,0.0,817.5736013933013,Furniture,5.0
2011-01-07,843.3398333424777,-1002.5269460577628,2591.9994901892433,843.3398333424777,843.3398333424777,-25.766231949176454,-25.766231949176454,-25.766231949176454,220.46651335669105,220.46651335669105,220.46651335669105,-246.23274530586752,-246.23274530586752,-246.23274530586752,0.0,0.0,0.0,817.5736013933013,Office Supplies,6.0
2011-01-07,843.3398333424777,-1002.5269460577628,2591.9994901892433,843.3398333424777,843.3398333424777,-25.766231949176454,-25.766231949176454,-25.766231949176454,220.46651335669105,220.46651335669105,220.46651335669105,-246.23274530586752,-246.23274530586752,-246.23274530586752,0.0,0.0,0.0,817.5736013933013,Office Supplies,7.0
2011-01-07,843.3398333424777,-1002.5269460577628,2591.9994901892433,843.3398333424777,843.3398333424777,-25.766231949176454,-25.766231949176454,-25.766231949176454,220.46651335669105,220.46651335669105,220.46651335669105,-246.23274530586752,-246.23274530586752,-246.23274530586752,0.0,0.0,0.0,817.5736013933013,Office Supplies,8.0
2011-01-07,843.3398333424777,-1002.5269460577628,2591.9994901892433,843.3398333424777,843.3398333424777,-25.766231949176454,-25.766231949176454,-25.766231949176454,220.46651335669105,220.46651335669105,220.46651335669105,-246.23274530586752,-246.23274530586752,-246.23274530586752,0.0,0.0,0.0,817.5736013933013,Office Supplies,9.0
2011-01-07,843.3398333424777,-1002.5269460577628,2591.9994901892433,843.3398333424777,843.3398333424777,-25.766231949176454,-25.766231949176454,-25.766231949176454,220.46651335669105,220.46651335669105,220.46651335669105,-246.23274530586752,-246.23274530586752,-246.23274530586752,0.0,0.0,0.0,817.5736013933013,Office Supplies,10.0
2011-01-07,843.3398333424777,-1002.5269460577628,2591.9994901892433,843.3398333424777,843.3398333424777,-25.766231949176454,-25.766231949176454,-25.766231949176454,220.46651335669105,220.46651335669105,220.46651335669105,-246.23274530586752,-246.23274530586752,-246.23274530586752,0.0,0.0,0.0,817.5736013933013,Office Supplies,11.0
2011-01-07,843.3398333424777,-1002.5269460577628,2591.9994901892433,843.3398333424777,843.3398333424777,-25.766231949176454,-25.766231949176454,-25.766231949176454,220.46651335669105,220.46651335669105,220.46651335669105,-246.23274530586752,-246.23274530586752,-246.23274530586752,0.0,0.0,0.0,817.5736013933013,Technology,12.0
2011-01-07,843.3398333424777,-1002.5269460577628,2591.9994901892433,843.3398333424777,843.3398333424777,-25.766231949176454,-25.766231949176454,-25.766231949176454,220.46651335669105,220.46651335669105,220.46651335669105,-246.23274530586752,-246.23274530586752,-246.23274530586752,0.0,0.0,0.0,817.5736013933013,Technology,13.0
2011-01-08,843.4560042566369,-1321.9928724978724,2084.499215106721,843.4560042566369,843.4560042566369,-464.91639534412786,-464.91639534412786,-464.91639534412786,-187.04553592658252,-187.04553592658252,-187.04553592658252,-277.8708594175453,-277.8708594175453,-277.8708594175453,0.0,0.0,0.0,378.53960891250904,Furniture,14.0
2011-01-08,843.4560042566369,-1321.9928724978724,2084.499215106721,843.4560042566369,843.4560042566369,-464.91639534412786,-464.91639534412786,-464.91639534412786,-187.04553592658252,-187.04553592658252,-187.04553592658252,-277.8708594175453,-277.8708594175453,-277.8708594175453,0.0,0.0,0.0,378.53960891250904,Office Supplies,15.0
2011-01-10,843.6883460849554,-1133.0244070764368,2416.746187683016,843.6883460849554,843.6883460849554,-236.54016260057517,-236.54016260057517,-236.54016260057517,93.55777684565513,93.55777684565513,93.55777684565513,-330.0979394462303,-330.0979394462303,-330.0979394462303,0.0,0.0,0.0,607.1481834843802,Office Supplies,16.0
2011-01-10,843.6883460849554,-1133.0244070764368,2416.746187683016,843.6883460849554,843.6883460849554,-236.54016260057517,-236.54016260057517,-236.54016260057517,93.55777684565513,93.55777684565513,93.55777684565513,-330.0979394462303,-330.0979394462303,-330.0979394462303,0.0,0.0,0.0,607.1481834843802,Technology,17.0
2011-01-11,843.8045169991145,-941.9930588876467,2614.933242670133,843.8045169991145,843.8045169991145,-100.63539752282128,-100.63539752282128,-100.63539752282128,249.54854259289274,249.54854259289274,249.54854259289274,-350.183940115714,-350.183940115714,-350.183940115714,0.0,0.0,0.0,743.1691194762932,Furniture,18.0
2011-01-11,843.8045169991145,-941.9930588876467,2614.933242670133,843.8045169991145,843.8045169991145,-100.63539752282128,-100.63539752282128,-100.63539752282128,249.54854259289274,249.54854259289274,249.54854259289274,-350.183940115714,-350.183940115714,-350.183940115714,0.0,0.0,0.0,743.1691194762932,Office Supplies,19.0
2011-01-12,843.9206879132739,-1237.2572401552682,2268.3425997876884,843.9206879132739,843.9206879132739,-385.06106146719196,-385.06106146719196,-385.06106146719196,-18.998592519315828,-18.998592519315828,-18.998592519315828,-366.06246894787614,-366.06246894787614,-366.06246894787614,0.0,0.0,0.0,458.85962644608196,Furniture,20.0
2011-01-14,844.1530297415923,-1085.6195949336782,2372.9299570794924,844.1530297415923,844.1530297415923,-164.72488380904872,-164.72488380904872,-164.72488380904872,220.46651335719073,220.46651335719073,220.46651335719073,-385.1913971662395,-385.1913971662395,-385.1913971662395,0.0,0.0,0.0,679.4281459325435,Furniture,21.0
2011-01-14,844.1530297415923,-1085.6195949336782,2372.9299570794924,844.1530297415923,844.1530297415923,-164.72488380904872,-164.72488380904872,-164.72488380904872,220.46651335719073,220.46651335719073,220.46651335719073,-385.1913971662395,-385.1913971662395,-385.1913971662395,0.0,0.0,0.0,679.4281459325435,Furniture,22.0
2011-01-14,844.1530297415923,-1085.6195949336782,2372.9299570794924,844.1530297415923,844.1530297415923,-164.72488380904872,-164.72488380904872,-164.72488380904872,220.46651335719073,220.46651335719073,220.46651335719073,-385.1913971662395,-385.1913971662395,-385.1913971662395,0.0,0.0,0.0,679.4281459325435,Office Supplies,23.0
2011-01-14,844.1530297415923,-1085.6195949336782,2372.9299570794924,844.1530297415923,844.1530297415923,-164.72488380904872,-164.72488380904872,-164.72488380904872,220.46651335719073,220.46651335719073,220.46651335719073,-385.1913971662395,-385.1913971662395,-385.1913971662395,0.0,0.0,0.0,679.4281459325435,Office Supplies,24.0
2011-01-14,844.1530297415923,-1085.6195949336782,2372.9299570794924,844.1530297415923,844.1530297415923,-164.72488380904872,-164.72488380904872,-164.72488380904872,220.46651335719073,220.46651335719073,220.46651335719073,-385.1913971662395,-385.1913971662395,-385.1913971662395,0.0,0.0,0.0,679.4281459325435,Office Supplies,25.0
2011-01-14,844.1530297415923,-1085.6195949336782,2372.9299570794924,844.1530297415923,844.1530297415923,-164.72488380904872,-164.72488380904872,-164.72488380904872,220.46651335719073,220.46651335719073,220.46651335719073,-385.1913971662395,-385.1913971662395,-385.1913971662395,0.0,0.0,0.0,679.4281459325435,Office Supplies,26.0
2011-01-14,844.1530297415923,-1085.6195949336782,2372.9299570794924,844.1530297415923,844.1530297415923,-164.72488380904872,-164.72488380904872,-164.72488380904872,220.46651335719073,220.46651335719073,220.46651335719073,-385.1913971662395,-385.1913971662395,-385.1913971662395,0.0,0.0,0.0,679.4281459325435,Office Supplies,27.0
2011-01-14,844.1530297415923,-1085.6195949336782,2372.9299570794924,844.1530297415923,844.1530297415923,-164.72488380904872,-164.72488380904872,-164.72488380904872,220.46651335719073,220.46651335719073,220.46651335719073,-385.1913971662395,-385.1913971662395,-385.1913971662395,0.0,0.0,0.0,679.4281459325435,Office Supplies,28.0
2011-01-14,844.1530297415923,-1085.6195949336782,2372.9299570794924,844.1530297415923,844.1530297415923,-164.72488380904872,-164.72488380904872,-164.72488380904872,220.46651335719073,220.46651335719073,220.46651335719073,-385.1913971662395,-385.1913971662395,-385.1913971662395,0.0,0.0,0.0,679.4281459325435,Office Supplies,29.0
2011-01-14,844.1530297415923,-1085.6195949336782,2372.9299570794924,844.1530297415923,844.1530297415923,-164.72488380904872,-164.72488380904872,-164.72488380904872,220.46651335719073,220.46651335719073,220.46651335719073,-385.1913971662395,-385.1913971662395,-385.1913971662395,0.0,0.0,0.0,679.4281459325435,Office Supplies,30.0
2011-01-14,844.1530297415923,-1085.6195949336782,2372.9299570794924,844.1530297415923,844.1530297415923,-164.72488380904872,-164.72488380904872,-164.72488380904872,220.46651335719073,220.46651335719073,220.46651335719073,-385.1913971662395,-385.1913971662395,-385.1913971662395,0.0,0.0,0.0,679.4281459325435,Technology,31.0
2011-01-15,844.2692006557514,-1593.1538981683916,1998.88704540273,844.2692006557514,844.2692006557514,-575.7225823140335,-575.7225823140335,-575.7225823140335,-187.04553592705903,-187.04553592705903,-187.04553592705903,-388.6770463869744,-388.6770463869744,-388.6770463869744,0.0,0.0,0.0,268.54661834171793,Furniture,32.0
2011-01-16,844.3853715699107,-1857.5705533940652,1586.1681596885426,844.3853715699107,844.3853715699107,-963.8119646892271,-963.8119646892271,-963.8119646892271,-575.3902339485302,-575.3902339485302,-575.3902339485302,-388.4217307406969,-388.4217307406969,-388.4217307406969,0.0,0.0,0.0,-119.42659311931641,Technology,33.0
2011-01-17,844.50154248407,-1085.920585715531,2355.645261900887,844.50154248407,844.50154248407,-291.2102583896213,-291.2102583896213,-291.2102583896213,93.55777684644403,93.55777684644403,93.55777684644403,-384.7680352360653,-384.7680352360653,-384.7680352360653,0.0,0.0,0.0,553.2912840944487,Furniture,34.0
2011-01-17,844.50154248407,-1085.920585715531,2355.645261900887,844.50154248407,844.50154248407,-291.2102583896213,-291.2102583896213,-291.2102583896213,93.55777684644403,93.55777684644403,93.55777684644403,-384.7680352360653,-384.7680352360653,-384.7680352360653,0.0,0.0,0.0,553.2912840944487,Office Supplies,35.0
2011-01-17,844.50154248407,-1085.920585715531,2355.645261900887,844.50154248407,844.50154248407,-291.2102583896213,-291.2102583896213,-291.2102583896213,93.55777684644403,93.55777684644403,93.55777684644403,-384.7680352360653,-384.7680352360653,-384.7680352360653,0.0,0.0,0.0,553.2912840944487,Office Supplies,36.0
2011-01-17,844.50154248407,-1085.920585715531,2355.645261900887,844.50154248407,844.50154248407,-291.2102583896213,-291.2102583896213,-291.2102583896213,93.55777684644403,93.55777684644403,93.55777684644403,-384.7680352360653,-384.7680352360653,-384.7680352360653,0.0,0.0,0.0,553.2912840944487,Technology,37.0
2011-01-19,844.7338843123885,-1245.2538783389114,2235.7900401257957,844.7338843123885,844.7338843123885,-388.0154231232339,-388.0154231232339,-388.0154231232339,-18.998592518719928,-18.998592518719928,-18.998592518719928,-369.016830604514,-369.016830604514,-369.016830604514,0.0,0.0,0.0,456.71846118915454,Office Supplies,38.0
2011-01-20,844.8500552265476,-1044.000500170734,2474.837160998802,844.8500552265476,844.8500552265476,-140.09226013752007,-140.09226013752007,-140.09226013752007,217.8615295997309,217.8615295997309,217.8615295997309,-357.953789737251,-357.953789737251,-357.953789737251,0.0,0.0,0.0,704.7577950890276,Furniture,39.0
2011-01-20,844.8500552265476,-1044.000500170734,2474.837160998802,844.8500552265476,844.8500552265476,-140.09226013752007,-140.09226013752007,-140.09226013752007,217.8615295997309,217.8615295997309,217.8615295997309,-357.953789737251,-357.953789737251,-357.953789737251,0.0,0.0,0.0,704.7577950890276,Office Supplies,40.0
2011-01-20,844.8500552265476,-1044.000500170734,2474.837160998802,844.8500552265476,844.8500552265476,-140.09226013752007,-140.09226013752007,-140.09226013752007,217.8615295997309,217.8615295997309,217.8615295997309,-357.953789737251,-357.953789737251,-357.953789737251,0.0,0.0,0.0,704.7577950890276,Office Supplies,41.0
2011-01-20,844.8500552265476,-1044.000500170734,2474.837160998802,844.8500552265476,844.8500552265476,-140.09226013752007,-140.09226013752007,-140.09226013752007,217.8615295997309,217.8615295997309,217.8615295997309,-357.953789737251,-357.953789737251,-357.953789737251,0.0,0.0,0.0,704.7577950890276,Office Supplies,42.0
2011-01-21,844.9662261407068,-1173.6803874304512,2461.012907630517,844.9662261407068,844.9662261407068,-125.06952547182665,-125.06952547182665,-125.06952547182665,220.46651335695324,220.46651335695324,220.46651335695324,-345.5360388287799,-345.5360388287799,-345.5360388287799,0.0,0.0,0.0,719.8967006688802,Furniture,43.0
2011-01-21,844.9662261407068,-1173.6803874304512,2461.012907630517,844.9662261407068,844.9662261407068,-125.06952547182665,-125.06952547182665,-125.06952547182665,220.46651335695324,220.46651335695324,220.46651335695324,-345.5360388287799,-345.5360388287799,-345.5360388287799,0.0,0.0,0.0,719.8967006688802,Furniture,44.0
2011-01-21,844.9662261407068,-1173.6803874304512,2461.012907630517,844.9662261407068,844.9662261407068,-125.06952547182665,-125.06952547182665,-125.06952547182665,220.46651335695324,220.46651335695324,220.46651335695324,-345.5360388287799,-345.5360388287799,-345.5360388287799,0.0,0.0,0.0,719.8967006688802,Furniture,45.0
2011-01-21,844.9662261407068,-1173.6803874304512,2461.012907630517,844.9662261407068,844.9662261407068,-125.06952547182665,-125.06952547182665,-125.06952547182665,220.46651335695324,220.46651335695324,220.46651335695324,-345.5360388287799,-345.5360388287799,-345.5360388287799,0.0,0.0,0.0,719.8967006688802,Furniture,46.0
